2015-08-16 15:48:24 - PHP Notice:  Undefined index: width in /var/www/html/firstplaceshop/catalog/controller/module/popular.php on line 35
2015-08-16 15:48:24 - PHP Notice:  Undefined index: height in /var/www/html/firstplaceshop/catalog/controller/module/popular.php on line 35
2015-08-16 15:48:24 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in /var/www/html/firstplaceshop/system/library/image.php on line 86
2015-08-16 15:48:24 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/image.php on line 94
2015-08-16 15:48:24 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/image.php on line 97
2015-08-16 15:48:24 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/image.php on line 99
2015-08-16 15:48:47 - PHP Notice:  Undefined index: limit in /var/www/html/firstplaceshop/catalog/controller/module/popular.php on line 22
2015-08-17 16:53:38 - PHP Warning:  fopen(/var/www/html/firstplaceshop/system/cache/cache.language.1439834018): failed to open stream: No such file or directory in /var/www/html/firstplaceshop/system/library/cache/file.php on line 49
2015-08-17 16:53:38 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 51
2015-08-17 16:53:38 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 53
2015-08-17 16:53:38 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 55
2015-08-17 16:53:38 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 57
2015-08-17 16:53:38 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 59
2015-08-17 16:53:38 - PHP Warning:  fopen(/var/www/html/firstplaceshop/system/cache/cache.currency.1439834018): failed to open stream: No such file or directory in /var/www/html/firstplaceshop/system/library/cache/file.php on line 49
2015-08-17 16:53:38 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 51
2015-08-17 16:53:38 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 53
2015-08-17 16:53:38 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 55
2015-08-17 16:53:38 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/html/firstplaceshop/system/library/cache/file.php on line 57
